,Area,Mean,min,max
1,3.13E-05,113.544,87,141
2,1.95E-05,113.03,81,144
3,3.07E-05,134.624,82,199
4,1.68E-05,129.279,77,161
5,2.23E-05,130.553,102,154
6,2.09E-05,112.659,86,143
7,1.09E-05,119.598,99,134
8,1.54E-05,128.114,86,152
9,2.42E-05,137.077,85,178
10,1.56E-05,133.944,106,159
11,2.68E-05,128.069,94,165
12,1.45E-05,114.608,92,135
13,4.86E-05,132.108,85,169
14,3.16E-05,140.531,93,178
15,2.03E-05,134.212,88,169
16,2.23E-05,140.627,93,171
17,2.56E-05,148.718,125,174
18,1.45E-05,157.405,131,183
19,1.95E-05,113.03,81,144
20,1.73E-05,115.921,89,138
21,3.71E-05,120.645,87,149
22,1.76E-05,131.483,94,167
23,1.27E-05,157.462,128,189
24,1.62E-05,137.096,104,159
25,1.95E-05,113.03,81,144
26,2.49E-05,124.082,88,173
27,1.02E-05,121.462,85,139
28,1.33E-05,125.324,96,150
29,2.54E-05,131.485,97,161
30,3.91E-05,133.195,90,165
31,9.96E-06,142.137,108,165
32,1.76E-05,138.05,92,163
33,1.45E-05,151.588,122,189
34,3.18E-05,133.914,90,162
35,1.88E-05,148.953,112,176
