,Area,Mean,min,max
1,3.71E-05,155.884,134,184
2,2.34E-05,166.054,141,185
3,3.13E-05,153.125,125,181
4,3.36E-05,151.416,114,174
5,5.55E-05,160.866,134,181
6,4.14E-05,153.962,130,175
7,1.45E-05,166.182,140,190
8,3.67E-05,156.957,128,190
9,2.38E-05,156.639,120,190
10,3.71E-05,155.884,134,184
11,2.23E-05,154.07,134,176
12,3.71E-05,158.732,132,184
13,2.70E-05,170.384,152,205
14,5.82E-05,167.279,135,193
15,4.81E-05,172.988,141,206
16,3.36E-05,139.517,108,165
17,3.56E-05,160.398,140,180
18,4.73E-05,157.744,130,183
19,1.95E-05,151.005,112,174
20,4.06E-05,164.68,110,198
21,4.65E-05,145.002,117,169
22,7.81E-05,149.759,126,169
23,3.32E-05,156.453,120,188
24,1.11E-04,149.365,126,174
25,3.75E-05,156.596,118,181
26,2.97E-05,162.711,127,204
27,4.06E-05,162.779,130,188
28,5.00E-05,145.648,120,175
29,1.84E-05,154.947,122,185
30,3.13E-05,152.484,101,185
31,3.36E-05,166.052,129,195
32,3.95E-05,150.832,126,180
33,3.48E-05,154.579,119,180
34,1.72E-05,155.932,130,179
35,2.81E-05,145.42,109,171
36,3.13E-05,162.713,130,195
