,Area,Mean,min,max
1,1.82E-05,162.763,133,185
2,3.95E-05,158.515,123,186
3,2.27E-05,165.177,136,189
4,2.58E-05,150.591,132,170
5,1.72E-05,169.33,138,197
6,1.52E-05,169.006,152,186
7,1.72E-05,165.67,138,196
8,2.70E-05,153.87,122,173
9,2.15E-05,157.323,121,182
10,2.15E-05,149.277,129,174
11,9.77E-06,166.27,141,188
12,1.72E-05,147.04,124,172
13,1.99E-05,133.873,102,177
14,1.25E-05,161.117,121,181
15,1.68E-05,162.337,136,188
16,1.56E-05,161.625,131,182
17,1.45E-05,156.811,130,173
18,1.25E-05,169.266,140,196
19,1.09E-05,141.304,114,164
20,1.72E-05,142.835,124,166
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
