,Area,Mean,min,max
1,2.11E-05,172.69,153,198
2,1.95E-05,169.01,147,189
3,5.11E-05,174.683,133,204
4,6.09E-05,158.596,124,193
5,3.36E-05,170.041,147,194
6,3.22E-05,170.997,132,197
7,1.37E-05,179.029,156,196
8,2.03E-05,173.582,146,208
9,4.88E-05,160.574,130,187
10,2.23E-05,169.474,147,189
11,2.11E-05,172.69,153,198
12,2.81E-05,151.767,119,180
13,3.67E-05,149.71,109,187
14,3.13E-05,150.403,114,186
15,2.32E-05,135.151,97,183
16,2.09E-05,152.07,120,195
17,1.73E-05,141.028,102,182
18,2.68E-05,159.69,122,187
19,2.93E-05,149.787,92,195
