,Area,Mean,min,max
1,1.37E-05,125.15,105,153
2,1.25E-05,125.797,100,158
3,2.23E-05,135.522,114,173
4,2.34E-05,161.775,125,192
5,2.31E-05,150.072,126,186
6,2.95E-05,122.838,90,150
7,1.06E-05,134.833,116,155
8,1.25E-05,137.32,111,168
9,3.63E-05,135.07,109,162
10,8.20E-06,126.131,107,146
11,1.09E-05,124.661,88,158
12,1.02E-05,139.913,109,158
13,2.03E-05,137.288,111,159
14,1.23E-05,148.754,126,171
15,2.31E-05,136.86,99,173
16,1.72E-05,138.403,113,163
17,2.93E-05,126.873,89,154
18,1.72E-05,133.676,97,164
19,1.99E-05,139.118,107,176
20,4.06E-05,137.012,112,164
21,1.95E-05,136.185,104,168
22,2.33E-05,133.536,100,154
23,3.71E-05,131.097,102,152
24,2.23E-05,136.921,115,155
25,1.56E-05,149.394,119,172
26,1.03E-05,144.086,113,177
27,2.48E-05,127.685,100,156
28,2.23E-05,143.083,112,171
29,2.85E-05,153.247,112,193
30,2.81E-05,154.497,133,180
31,5.12E-05,138.79,93,167
32,3.24E-05,117.352,94,141
33,7.81E-06,135.963,101,158
34,2.42E-05,143.726,113,166
,,,,
