,Area,Mean,min,max
1,6.52E-05,176.663,147,202
2,2.81E-05,184.698,157,209
3,1.25E-05,181.703,165,206
4,2.19E-05,201.612,175,221
5,1.09E-05,199.571,176,214
6,2.23E-05,186.693,164,209
7,3.56E-05,203.975,148,228
8,3.24E-05,181.892,128,209
9,3.24E-05,194.361,167,223
10,2.97E-05,187.895,154,209
11,3.71E-05,184.384,126,221
12,4.88E-05,179.782,145,212
13,3.52E-05,204.75,170,242
14,4.45E-05,194.158,144,236
15,3.48E-05,190.098,167,214
16,4.73E-05,187.004,167,211
17,1.72E-05,183.409,165,201
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
