,Area,Mean,min,max
1,5.98E-05,191.792,150,217
2,4.73E-05,186.157,129,214
3,3.91E-05,198.82,151,229
4,2.23E-05,195.268,168,211
5,2.97E-05,183.645,155,204
6,4.38E-05,203.614,162,238
7,2.42E-05,202.298,179,227
8,2.97E-05,186.622,158,211
9,4.73E-05,193.901,165,219
10,3.05E-05,181.112,154,211
11,3.87E-05,189.22,137,229
12,1.56E-05,175.831,155,198
13,4.73E-05,186.157,129,214
14,5.16E-05,178.318,151,205
15,2.19E-05,182.478,164,201
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
