,Area,Mean,min,max
1,4.41E-05,177.704,142,197
2,5.47E-05,171.582,102,210
3,2.19E-05,180.223,159,210
4,1.68E-05,187.122,152,214
5,3.13E-05,183.772,143,208
6,2.33E-05,191.23,165,209
7,4.41E-05,192.938,168,212
8,3.13E-05,185.719,169,197
9,4.38E-05,206.679,184,229
10,5.90E-05,191.442,165,208
11,3.32E-05,195.3,172,212
12,1.72E-05,187.097,156,211
13,2.38E-05,181.377,162,201
14,2.15E-05,176.073,150,209
15,4.41E-05,177.704,142,197
16,3.48E-05,188.449,168,206
17,3.05E-05,190.792,164,207
18,2.23E-05,182.974,155,209
19,8.40E-05,193.927,154,217
20,4.73E-05,194.409,165,221
21,3.71E-05,182.216,150,208
22,2.38E-05,186.561,163,208
23,5.20E-05,193.248,157,223
24,3.71E-05,172.766,153,196
25,5.63E-05,176.663,144,210
26,2.19E-05,179.875,155,204
27,4.34E-05,182.025,130,210
28,3.05E-05,168.737,145,188
29,3.32E-05,184.788,155,215
30,1.72E-05,194.051,171,210
31,4.10E-05,182.286,146,206
32,3.36E-05,176.212,160,195
33,1.72E-05,171.83,150,192
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
