,Area,Mean,min,max
1,3.36E-05,195.093,173,215
2,3.24E-05,189.051,172,210
3,2.50E-05,179.285,143,205
4,1.72E-05,186.642,155,207
5,2.23E-05,195.237,173,217
6,3.13E-05,187.988,166,211
7,2.03E-05,192.428,166,209
8,2.23E-05,193.513,162,213
9,3.75E-05,188.227,167,207
10,3.09E-05,187.269,172,207
11,2.23E-05,190.732,173,216
12,5.16E-05,165.182,134,206
13,1.84E-05,181.585,145,202
14,1.99E-05,170.931,135,206
15,1.48E-05,184.684,154,205
16,1.33E-05,172.081,155,187
17,6.25E-06,164.578,126,187
18,3.13E-05,165.025,144,185
19,1.25E-05,180.453,161,204
