,Area,Mean,min,max
1,4.38E-05,197.033,156,218
2,2.03E-05,199.279,165,221
3,5.20E-05,195.083,157,218
4,3.36E-05,190.701,171,215
5,4.34E-05,164.644,92,211
6,3.32E-05,191.624,163,223
7,5.86E-05,177.325,120,206
8,4.41E-05,192.277,163,216
9,3.32E-05,197.791,167,230
10,2.97E-05,197.543,172,223
11,3.67E-05,191.737,167,209
12,3.71E-05,197.684,164,221
13,2.70E-05,168.011,140,196
14,2.50E-05,184.801,157,207
15,4.73E-05,196.944,155,229
16,2.23E-05,189.224,167,207
17,3.13E-05,184.625,164,210
18,8.01E-05,188.43,137,227
19,4.73E-05,186.69,159,209
20,3.24E-05,196.181,174,216
21,4.10E-05,200.717,158,239
22,2.54E-05,204.65,167,239
23,5.55E-05,170.396,146,201
24,2.70E-05,155.025,121,190
25,4.81E-05,186.201,160,208
26,5.55E-05,180.644,150,208
27,3.95E-05,188.592,164,207
28,5.55E-05,176.053,120,202
29,2.50E-05,181.426,145,209
30,3.71E-05,134.168,71,169
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
