,Area,Mean,min,max
1,3.36E-05,141.89,120,163
2,2.97E-05,163.734,138,193
3,5.00E-05,157.504,127,193
4,1.25E-05,164.453,147,183
5,2.70E-05,162.851,139,183
6,3.24E-05,143.958,115,169
7,2.42E-05,181.863,157,213
8,2.42E-05,160.839,142,176
9,2.70E-05,136.891,102,168
10,2.03E-05,156.361,140,167
11,2.42E-05,148.302,120,181
12,4.14E-05,152.368,136,174
13,2.70E-05,161.29,141,179
14,2.42E-05,162.915,140,185
15,3.71E-05,160.729,134,193
16,3.48E-05,161.514,132,195
17,2.81E-05,159.316,133,190
18,4.73E-05,161.452,127,189
19,2.23E-05,168.408,150,192
20,3.09E-05,167.443,134,191
21,2.81E-05,164.177,131,189
22,2.19E-05,162.562,140,188
23,3.48E-05,162.382,123,188
24,1.25E-05,164.453,147,183
25,3.71E-05,138.705,116,171
26,3.67E-05,144.122,122,165
27,3.36E-05,156.797,136,176
28,2.03E-05,159.288,139,174
29,1.33E-05,156.478,142,167
30,3.05E-05,158.276,137,183
31,2.97E-05,157.967,132,181
32,2.81E-05,145.087,118,174
33,1.52E-05,159.462,140,174
34,2.70E-05,140.601,115,161
35,3.36E-05,144.503,116,166
