1,2.81E-05,188.677,159,206
2,3.67E-05,183.045,154,207
3,1.41E-05,187.306,166,210
4,1.88E-05,197.203,167,218
5,2.54E-05,179.673,156,200
6,2.23E-05,163.338,126,181
7,2.62E-05,198.332,153,233
8,1.56E-05,197.369,169,220
9,1.88E-05,190.818,140,213
10,2.97E-05,160.737,122,192
11,3.48E-05,184.756,153,208
12,3.24E-05,177.407,149,201
13,2.34E-05,184.3,161,208
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
