,Area,Mean,min,max
1,4.22E-05,163.553,118,202
2,2.46E-05,173.917,141,190
3,9.38E-06,160.125,128,190
4,1.95E-05,172.495,147,192
5,2.70E-05,163.525,137,199
6,9.77E-06,166.08,139,192
7,2.70E-05,158.87,131,183
8,2.15E-05,143.405,114,171
9,2.03E-05,170.034,146,191
10,2.42E-05,176.391,152,198
11,2.81E-05,156.92,122,177
12,3.32E-05,153.938,117,180
13,4.38E-05,157.047,135,180
14,3.75E-05,167.792,139,192
15,5.86E-05,163.807,139,194
16,3.36E-05,165.189,133,192
17,2.46E-05,173.917,141,190
18,4.81E-05,166.555,126,199
19,2.70E-05,160.605,134,185
20,1.95E-05,167.88,141,187
21,2.81E-05,160.837,117,185
22,3.32E-05,161.206,134,190
23,2.97E-05,161.661,101,190
24,4.14E-05,164.502,125,200
25,2.46E-05,151.468,118,181
26,3.71E-05,149.679,110,182
,,,,
