,Area,Mean,min,max
1,2.03E-05,169.327,97,232
2,1.25E-05,112.703,87,135
3,1.82E-05,100.919,59,151
4,2.20E-05,140.564,95,170
5,2.77E-05,126.134,99,146
6,1.94E-05,136.312,105,178
7,1.56E-05,129.744,105,158
8,1.90E-05,137.428,97,169
9,3.20E-05,113.619,81,155
10,3.08E-05,132.302,112,156
11,1.34E-05,124.73,98,140
12,1.27E-05,129.169,86,165
13,7.23E-06,143.622,120,161
14,8.20E-06,127.238,104,155
15,7.23E-06,137.068,114,154
16,8.69E-06,128.809,101,150
17,1.76E-05,94.061,70,118
18,4.69E-06,139.688,114,159
19,1.90E-05,116.851,85,146
