,Area,Mean,min,max
1,2.70E-05,173.964,147,192
2,5.55E-05,179.327,152,200
3,3.95E-05,178.874,160,199
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
