,Area,Mean,min,max
1,5.00E-05,170.449,132,196
2,4.43E-05,169.674,118,205
3,3.24E-05,171.837,134,199
4,2.70E-05,176.264,157,197
5,4.10E-05,121.383,67,184
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
