,Area,Mean,min,max
1,1.13E-05,156.767,132,180
2,2.05E-05,175.395,148,201
3,2.73E-06,177.964,163,191
4,6.25E-06,178.406,152,204
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
