,Area,Mean,min,max
1,1.57E-05,155.969,130,176
2,1.45E-05,159.405,137,186
3,1.62E-05,172.554,144,194
4,3.13E-05,182.287,156,209
5,1.45E-05,172.135,143,190
6,2.03E-05,163.062,141,188
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
