,Area,Mean,min,max
1,2.81E-05,185.056,167,203
2,4.14E-05,178.087,155,195
3,3.20E-05,183.354,163,207
4,1.43E-05,167.664,151,184
5,4.45E-05,171.822,139,198
6,1.45E-05,188.439,169,211
7,4.73E-05,163.254,124,199
8,3.05E-05,165.59,128,201
9,1.17E-04,172.943,132,211
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
