,Area,Mean,min,max
1,2.12E-05,186.783,160,202
2,4.40E-05,161.466,89,201
3,2.19E-05,152.554,97,184
4,5.43E-05,128.054,62,182
5,4.34E-05,148.646,113,181
6,4.14E-05,140.934,90,182
7,3.87E-05,137.462,106,167
8,4.40E-05,161.466,89,201
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
