,mtn,spcode,tag,lat,lon,elev,DBH,Age,trail.area,date,,
1,GM,PIPOS,ELG002,31.90267,104.84861,1891,30.9,98,devils hall,6/3/2015,,
2,GM,PIPOS,ELG003,31.90146,104.84593,1902,35.3,122,devils hall,6/3/2015,,
3,GM,PIPOS,ELG004,31.90145,104.8438,1848,14.8,77,devils hall,6/3/2015,,Guadalupe Mountains
4,GM,PIPOS,ELG005,31.89106,104.85873,2620,36.1,NA,guadalupe peak,6/4/2015,,"Salt Flat, Texas 79847"
5,GM,PIST3,ELG006,31.89112,104.85796,2585,16.9,NA,guadalupe peak,6/4/2015,,
6,GM,PIST3,ELG007,31.89129,104.8582,2575,20.7,NA,guadalupe peak,6/4/2015,,latitude= North
7,GM,PIST3,ELG008,31.89136,104.85732,2547,38.3,NA,guadalupe peak,6/4/2015,,longitude= West
8,GM,PIPOS,ELG009,31.89263,104.85363,2483,10.2,27,guadalupe peak,6/4/2015,,
9,GM,PIPOS,ELG010,31.89118,104.85181,2471,34.1,35,guadalupe peak,6/4/2015,,
10,GM,PIED,ELG011,31.89369,104.8484,2409,20.3,136,guadalupe peak,6/4/2015,,
11,GM,PIED,ELG012,31.89561,104.84769,2393,11.7,58,guadalupe peak,6/4/2015,,
12,GM,PIED,ELG013,31.89367,104.84702,2366,24.2,NA,guadalupe peak,6/4/2015,,
13,GM,PIED,ELG014,31.89407,104.84694,2336,14.2,80,guadalupe peak,6/4/2015,,
14,GM,PIED,ELG015,31.89429,104.8451,2270,11.3,52,guadalupe peak,6/4/2015,,
15,GM,PIED,ELG016,31.89468,104.84312,2151,10.9,NA,guadalupe peak,6/4/2015,,
16,GM,PIPOS,ELG017,31.89834,104.82948,1792,38.6,99,pine springs,6/5/2015,,
17,GM,PIPOS,ELG018,31.89865,104.83247,1804,47.5,NA,pine springs,6/5/2015,,
18,GM,PIPOS,ELG019,31.89963,104.83417,1802,51.5,112,pine springs,6/5/2015,,
19,GM,PIPOS,ELG020,31.90129,104.83659,1815,16.8,21,pine springs,6/5/2015,,
20,GM,PIED,ELG021,31.91194,104.84438,2220,24.5,131,tejas trail,6/5/2015,,
21,GM,PIED,ELG022,31.91452,104.84682,2326,33.1,167,tejas trail,6/5/2015,,
22,GM,PIED,ELG023,31.91559,104.84649,2361,19.6,61,tejas trail,6/5/2015,,
23,GM,PIED,ELG024,31.91567,104.84583,2387,14.7,44,tejas trail,6/5/2015,,
24,GM,PIED,ELG025,31.91621,104.84459,2396,8.3,NA,tejas trail,6/5/2015,,
25,GM,PIPOS,ELG026,31.91899,104.84435,2425,40.1,NA,tejas trail,6/5/2015,,
26,GM,PIPOS,ELG027,31.91933,104.84329,2397,15.2,37,tejas trail,6/5/2015,,
27,GM,PIST3,ELG028,31.91991,104.84408,2404,5.2,35,tejas trail,6/5/2015,,
28,GM,PIED,ELG029,31.91959,104.8437,2407,11.7,43,tejas trail,6/5/2015,,
29,GM,PIPOS,ELG030,31.9199,104.8452,2407,13.3,NA,tejas trail,6/5/2015,,
30,GM,PIST3,ELG031,31.92042,104.84306,2406,22.4,84,tejas trail,6/5/2015,,
31,GM,PIPOS,ELG032,31.96128,104.84453,2338,33.4,48,McKittrick canyon trail,6/20/2015,,
32,GM,PIST3,ELG033,31.96029,104.8422,2340,9.9,35,McKittrick canyon trail,6/20/2015,,
33,GM,PIED,ELG034,31.9619,104.83803,2368,21.3,54,McKittrick canyon trail,6/20/2015,,
34,GM,PIPOS,ELG035,31.9629,104.83709,2373,28.7,60,McKittrick canyon trail,6/20/2015,,
35,GM,PIST3,ELG036,31.96775,104.83104,2347,18.5,39,McKittrick canyon trail,6/20/2015,,
36,GM,PIST3,ELG037,31.9673,104.83128,2360,14.9,66,McKittrick canyon trail,6/20/2015,,
37,GM,PIST3,ELG038,31.96809,104.83203,2365,30.2,NA,McKittrick canyon trail,6/20/2015,,
38,GM,PIST3,ELG039,31.96881,104.83023,2361,19.6,68,McKittrick canyon trail,6/20/2015,,
39,GM,PIST3,ELG040,31.96967,104.83007,2379,8.9,48,McKittrick canyon trail,6/20/2015,,
40,GM,PIST3,ELG041,31.97025,104.8298,2382,20.7,111,McKittrick canyon trail,6/20/2015,,
41,GM,PIST3,ELG042,31.97091,104.82928,2378,21.7,68,McKittrick canyon trail,6/20/2015,,
42,GM,PIST3,ELG043,31.97143,104.82833,2380,15.6,47,McKittrick canyon trail,6/20/2015,,
43,GM,PIED,ELG044,31.90802,104.80276,1711,28.2,110,frijole trail,8/6/2015,,
44,GM,PIED,ELG045,31.90938,104.80412,1733,17.4,51,frijole trail,8/6/2015,,
45,GM,PIED,ELG046,31.91003,104.80389,1719,17.2,52,smith springs trail,8/6/2015,,
46,GM,PIED,ELG047,31.90509,104.80102,1676,23.3,71,smith springs trail,8/6/2015,,
47,GM,PIED,ELG048,31.90396,104.80098,1647,22.1,77,smith springs trail,8/6/2015,,
48,GM,PIED,ELG049,31.91857,104.84555,2440,9.5,34,pine top campground,8/7/2015,,
49,GM,PIED,ELG050,31.9188,104.84557,2444,15.2,32,pine top campground,8/7/2015,,
50,GM,PIPOS,ELG051,31.92044,104.84314,2392,16.8,44,tejas trail,8/7/2015,,
51,GM,PIST3,ELG052,31.92119,104.84309,2409,14.9,62,tejas trail,8/7/2015,,
52,GM,PIPOS,ELG053,31.9223,104.84263,2384,9.1,NA,tejas trail,8/7/2015,,
53,GM,PIST3,ELG054,31.92234,104.84261,2385,11.6,50,tejas trail,8/7/2015,,
54,GM,PIED,ELG055,31.92379,104.84328,2309,15,44,tejas trail,8/7/2015,,
55,GM,PIST3,ELG056,31.92574,104.84355,2372,11,34,tejas trail,8/7/2015,,
56,GM,PIED,ELG057,31.92601,104.84353,2379,15,51,tejas trail,8/7/2015,,
57,GM,PIPOS,ELG058,31.92729,104.84364,2386,21.3,60,tejas trail,8/7/2015,,
58,GM,PIED,ELG059,31.92779,104.84382,2382,17.1,51,tejas trail,8/7/2015,,
59,GM,PIPOS,ELG060,31.92793,104.84385,2376,13.7,33,tejas trail,8/7/2015,,
60,GM,PIPOS,ELG061,31.91601,104.84424,2388,22.5,29,bowl trail,8/7/2015,,
61,GM,PIST3,ELG062,31.91625,104.84396,2391,10,63,bowl trail,8/8/2015,,
62,GM,PIST3,ELG063,31.91618,104.84132,2427,18.7,93,bowl trail,8/8/2015,,
63,GM,PIPOS,ELG064,31.91594,104.84127,2429,13.7,26,bowl trail,8/8/2015,,
64,GM,PIST3,ELG065,31.91552,104.83995,2421,9.3,38,bowl trail,8/8/2015,,
65,GM,PIPOS,ELG066,31.91552,104.8387,2420,11.9,34,bowl trail,8/8/2015,,
66,GM,PIST3,ELG067,31.91555,104.83866,2420,14.6,64,bowl trail,8/8/2015,,
67,GM,PIST3,ELG068,31.91558,104.8374,2420,15.8,72,bowl trail,8/8/2015,,
68,GM,PIST3,ELG069,31.91603,104.83617,2420,14.3,35,bowl trail,8/8/2015,,
69,GM,PIPOS,ELG070,31.91686,104.83455,2432,13.8,29,bowl trail,8/8/2015,,
